組別,科目名稱                                                                                            ,分數區間均數,人數,百分比,累計人數,累計百分比
01,英文、化學、生物                                                                                            ,298.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,295.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,292.5,0,0,0         ,0.0
01,英文、化學、生物                                                                                            ,289.5,2,0.01,2         ,0.01
01,英文、化學、生物                                                                                            ,286.5,5,0.03,7         ,0.05
01,英文、化學、生物                                                                                            ,283.5,13,0.09,20        ,0.13
01,英文、化學、生物                                                                                            ,280.5,15,0.1,35        ,0.23
01,英文、化學、生物                                                                                            ,277.5,33,0.22,68        ,0.45
01,英文、化學、生物                                                                                            ,274.5,56,0.37,124       ,0.82
01,英文、化學、生物                                                                                            ,271.5,75,0.5,199       ,1.32
01,英文、化學、生物                                                                                            ,268.5,110,0.73,309       ,2.05
01,英文、化學、生物                                                                                            ,265.5,145,0.96,454       ,3.02
01,英文、化學、生物                                                                                            ,262.5,165,1.1,619       ,4.11
01,英文、化學、生物                                                                                            ,259.5,214,1.42,833       ,5.53
01,英文、化學、生物                                                                                            ,256.5,191,1.27,1024      ,6.80
01,英文、化學、生物                                                                                            ,253.5,226,1.5,1250      ,8.30
01,英文、化學、生物                                                                                            ,250.5,236,1.57,1486      ,9.87
01,英文、化學、生物                                                                                            ,247.5,254,1.69,1740      ,11.56
01,英文、化學、生物                                                                                            ,244.5,239,1.59,1979      ,13.15
01,英文、化學、生物                                                                                            ,241.5,238,1.58,2217      ,14.73
01,英文、化學、生物                                                                                            ,238.5,228,1.51,2445      ,16.24
01,英文、化學、生物                                                                                            ,235.5,243,1.61,2688      ,17.86
01,英文、化學、生物                                                                                            ,232.5,241,1.6,2929      ,19.46
01,英文、化學、生物                                                                                            ,229.5,245,1.63,3174      ,21.09
01,英文、化學、生物                                                                                            ,226.5,246,1.63,3420      ,22.72
01,英文、化學、生物                                                                                            ,223.5,229,1.52,3649      ,24.24
01,英文、化學、生物                                                                                            ,220.5,246,1.63,3895      ,25.88
01,英文、化學、生物                                                                                            ,217.5,240,1.59,4135      ,27.47
01,英文、化學、生物                                                                                            ,214.5,268,1.78,4403      ,29.25
01,英文、化學、生物                                                                                            ,211.5,255,1.69,4658      ,30.95
01,英文、化學、生物                                                                                            ,208.5,218,1.45,4876      ,32.39
01,英文、化學、生物                                                                                            ,205.5,239,1.59,5115      ,33.98
01,英文、化學、生物                                                                                            ,202.5,228,1.51,5343      ,35.50
01,英文、化學、生物                                                                                            ,199.5,241,1.6,5584      ,37.10
01,英文、化學、生物                                                                                            ,196.5,261,1.73,5845      ,38.83
01,英文、化學、生物                                                                                            ,193.5,234,1.55,6079      ,40.39
01,英文、化學、生物                                                                                            ,190.5,251,1.67,6330      ,42.05
01,英文、化學、生物                                                                                            ,187.5,247,1.64,6577      ,43.70
01,英文、化學、生物                                                                                            ,184.5,244,1.62,6821      ,45.32
01,英文、化學、生物                                                                                            ,181.5,231,1.53,7052      ,46.85
01,英文、化學、生物                                                                                            ,178.5,222,1.47,7274      ,48.33
01,英文、化學、生物                                                                                            ,175.5,246,1.63,7520      ,49.96
01,英文、化學、生物                                                                                            ,172.5,262,1.74,7782      ,51.70
01,英文、化學、生物                                                                                            ,169.5,234,1.55,8016      ,53.26
01,英文、化學、生物                                                                                            ,166.5,244,1.62,8260      ,54.88
01,英文、化學、生物                                                                                            ,163.5,206,1.37,8466      ,56.25
01,英文、化學、生物                                                                                            ,160.5,222,1.47,8688      ,57.72
01,英文、化學、生物                                                                                            ,157.5,218,1.45,8906      ,59.17
01,英文、化學、生物                                                                                            ,154.5,234,1.55,9140      ,60.72
01,英文、化學、生物                                                                                            ,151.5,221,1.47,9361      ,62.19
01,英文、化學、生物                                                                                            ,148.5,204,1.36,9565      ,63.55
01,英文、化學、生物                                                                                            ,145.5,233,1.55,9798      ,65.09
01,英文、化學、生物                                                                                            ,142.5,204,1.36,10002     ,66.45
01,英文、化學、生物                                                                                            ,139.5,228,1.51,10230     ,67.96
01,英文、化學、生物                                                                                            ,136.5,174,1.16,10404     ,69.12
01,英文、化學、生物                                                                                            ,133.5,185,1.23,10589     ,70.35
01,英文、化學、生物                                                                                            ,130.5,173,1.15,10762     ,71.50
01,英文、化學、生物                                                                                            ,127.5,181,1.2,10943     ,72.70
01,英文、化學、生物                                                                                            ,124.5,190,1.26,11133     ,73.96
01,英文、化學、生物                                                                                            ,121.5,198,1.32,11331     ,75.28
01,英文、化學、生物                                                                                            ,118.5,178,1.18,11509     ,76.46
01,英文、化學、生物                                                                                            ,115.5,191,1.27,11700     ,77.73
01,英文、化學、生物                                                                                            ,112.5,187,1.24,11887     ,78.97
01,英文、化學、生物                                                                                            ,109.5,200,1.33,12087     ,80.30
01,英文、化學、生物                                                                                            ,106.5,180,1.2,12267     ,81.50
01,英文、化學、生物                                                                                            ,103.5,170,1.13,12437     ,82.63
01,英文、化學、生物                                                                                            ,100.5,161,1.07,12598     ,83.70
01,英文、化學、生物                                                                                            ,97.5,171,1.14,12769     ,84.83
01,英文、化學、生物                                                                                            ,94.5,165,1.1,12934     ,85.93
01,英文、化學、生物                                                                                            ,91.5,148,0.98,13082     ,86.91
01,英文、化學、生物                                                                                            ,88.5,144,0.96,13226     ,87.87
01,英文、化學、生物                                                                                            ,85.5,133,0.88,13359     ,88.75
01,英文、化學、生物                                                                                            ,82.5,137,0.91,13496     ,89.66
01,英文、化學、生物                                                                                            ,79.5,101,0.67,13597     ,90.33
01,英文、化學、生物                                                                                            ,76.5,95,0.63,13692     ,90.96
01,英文、化學、生物                                                                                            ,73.5,97,0.64,13789     ,91.61
01,英文、化學、生物                                                                                            ,70.5,98,0.65,13887     ,92.26
01,英文、化學、生物                                                                                            ,67.5,88,0.58,13975     ,92.84
01,英文、化學、生物                                                                                            ,64.5,82,0.54,14057     ,93.39
01,英文、化學、生物                                                                                            ,61.5,67,0.45,14124     ,93.83
01,英文、化學、生物                                                                                            ,58.5,66,0.44,14190     ,94.27
01,英文、化學、生物                                                                                            ,55.5,43,0.29,14233     ,94.56
01,英文、化學、生物                                                                                            ,52.5,38,0.25,14271     ,94.81
01,英文、化學、生物                                                                                            ,49.5,17,0.11,14288     ,94.92
01,英文、化學、生物                                                                                            ,46.5,27,0.18,14315     ,95.10
01,英文、化學、生物                                                                                            ,43.5,25,0.17,14340     ,95.27
01,英文、化學、生物                                                                                            ,40.5,18,0.12,14358     ,95.39
01,英文、化學、生物                                                                                            ,37.5,12,0.08,14370     ,95.47
01,英文、化學、生物                                                                                            ,34.5,18,0.12,14388     ,95.59
01,英文、化學、生物                                                                                            ,31.5,12,0.08,14400     ,95.67
01,英文、化學、生物                                                                                            ,28.5,6,0.04,14406     ,95.71
01,英文、化學、生物                                                                                            ,25.5,8,0.05,14414     ,95.76
01,英文、化學、生物                                                                                            ,22.5,8,0.05,14422     ,95.81
01,英文、化學、生物                                                                                            ,19.5,6,0.04,14428     ,95.85
01,英文、化學、生物                                                                                            ,16.5,13,0.09,14441     ,95.94
01,英文、化學、生物                                                                                            ,13.5,6,0.04,14447     ,95.98
01,英文、化學、生物                                                                                            ,10.5,4,0.03,14451     ,96.01
01,英文、化學、生物                                                                                            ,7.5,1,0.01,14452     ,96.01
01,英文、化學、生物                                                                                            ,4.5,0,0,14452     ,96.01
01,英文、化學、生物                                                                                            ,1.5,600,3.99,15052     ,100.0
02,英文、物理、生物                                                                                            ,298.5,0,0,0         ,0.0
02,英文、物理、生物                                                                                            ,295.5,0,0,0         ,0.0
02,英文、物理、生物                                                                                            ,292.5,0,0,0         ,0.0
02,英文、物理、生物                                                                                            ,289.5,2,0.01,2         ,0.01
02,英文、物理、生物                                                                                            ,286.5,5,0.04,7         ,0.05
02,英文、物理、生物                                                                                            ,283.5,11,0.08,18        ,0.13
02,英文、物理、生物                                                                                            ,280.5,30,0.22,48        ,0.36
02,英文、物理、生物                                                                                            ,277.5,32,0.24,80        ,0.60
02,英文、物理、生物                                                                                            ,274.5,49,0.37,129       ,0.96
02,英文、物理、生物                                                                                            ,271.5,81,0.61,210       ,1.57
02,英文、物理、生物                                                                                            ,268.5,101,0.75,311       ,2.32
02,英文、物理、生物                                                                                            ,265.5,136,1.02,447       ,3.34
02,英文、物理、生物                                                                                            ,262.5,157,1.17,604       ,4.51
02,英文、物理、生物                                                                                            ,259.5,156,1.17,760       ,5.68
02,英文、物理、生物                                                                                            ,256.5,203,1.52,963       ,7.20
02,英文、物理、生物                                                                                            ,253.5,179,1.34,1142      ,8.53
02,英文、物理、生物                                                                                            ,250.5,189,1.41,1331      ,9.94
02,英文、物理、生物                                                                                            ,247.5,186,1.39,1517      ,11.33
02,英文、物理、生物                                                                                            ,244.5,193,1.44,1710      ,12.78
02,英文、物理、生物                                                                                            ,241.5,223,1.67,1933      ,14.44
02,英文、物理、生物                                                                                            ,238.5,217,1.62,2150      ,16.06
02,英文、物理、生物                                                                                            ,235.5,227,1.7,2377      ,17.76
02,英文、物理、生物                                                                                            ,232.5,224,1.67,2601      ,19.43
02,英文、物理、生物                                                                                            ,229.5,200,1.49,2801      ,20.93
02,英文、物理、生物                                                                                            ,226.5,214,1.6,3015      ,22.53
02,英文、物理、生物                                                                                            ,223.5,216,1.61,3231      ,24.14
02,英文、物理、生物                                                                                            ,220.5,210,1.57,3441      ,25.71
02,英文、物理、生物                                                                                            ,217.5,223,1.67,3664      ,27.38
02,英文、物理、生物                                                                                            ,214.5,202,1.51,3866      ,28.89
02,英文、物理、生物                                                                                            ,211.5,208,1.55,4074      ,30.44
02,英文、物理、生物                                                                                            ,208.5,239,1.79,4313      ,32.23
02,英文、物理、生物                                                                                            ,205.5,184,1.37,4497      ,33.60
02,英文、物理、生物                                                                                            ,202.5,175,1.31,4672      ,34.91
02,英文、物理、生物                                                                                            ,199.5,216,1.61,4888      ,36.52
02,英文、物理、生物                                                                                            ,196.5,229,1.71,5117      ,38.23
02,英文、物理、生物                                                                                            ,193.5,210,1.57,5327      ,39.80
02,英文、物理、生物                                                                                            ,190.5,213,1.59,5540      ,41.39
02,英文、物理、生物                                                                                            ,187.5,222,1.66,5762      ,43.05
02,英文、物理、生物                                                                                            ,184.5,218,1.63,5980      ,44.68
02,英文、物理、生物                                                                                            ,181.5,218,1.63,6198      ,46.31
02,英文、物理、生物                                                                                            ,178.5,236,1.76,6434      ,48.07
02,英文、物理、生物                                                                                            ,175.5,220,1.64,6654      ,49.72
02,英文、物理、生物                                                                                            ,172.5,215,1.61,6869      ,51.32
02,英文、物理、生物                                                                                            ,169.5,225,1.68,7094      ,53.0
02,英文、物理、生物                                                                                            ,166.5,199,1.49,7293      ,54.49
02,英文、物理、生物                                                                                            ,163.5,209,1.56,7502      ,56.05
02,英文、物理、生物                                                                                            ,160.5,212,1.58,7714      ,57.64
02,英文、物理、生物                                                                                            ,157.5,209,1.56,7923      ,59.20
02,英文、物理、生物                                                                                            ,154.5,211,1.58,8134      ,60.77
02,英文、物理、生物                                                                                            ,151.5,182,1.36,8316      ,62.13
02,英文、物理、生物                                                                                            ,148.5,188,1.4,8504      ,63.54
02,英文、物理、生物                                                                                            ,145.5,190,1.42,8694      ,64.96
02,英文、物理、生物                                                                                            ,142.5,201,1.5,8895      ,66.46
02,英文、物理、生物                                                                                            ,139.5,186,1.39,9081      ,67.85
02,英文、物理、生物                                                                                            ,136.5,168,1.26,9249      ,69.10
02,英文、物理、生物                                                                                            ,133.5,162,1.21,9411      ,70.32
02,英文、物理、生物                                                                                            ,130.5,171,1.28,9582      ,71.59
02,英文、物理、生物                                                                                            ,127.5,174,1.3,9756      ,72.89
02,英文、物理、生物                                                                                            ,124.5,147,1.1,9903      ,73.99
02,英文、物理、生物                                                                                            ,121.5,182,1.36,10085     ,75.35
02,英文、物理、生物                                                                                            ,118.5,145,1.08,10230     ,76.43
02,英文、物理、生物                                                                                            ,115.5,158,1.18,10388     ,77.62
02,英文、物理、生物                                                                                            ,112.5,160,1.2,10548     ,78.81
02,英文、物理、生物                                                                                            ,109.5,167,1.25,10715     ,80.06
02,英文、物理、生物                                                                                            ,106.5,170,1.27,10885     ,81.33
02,英文、物理、生物                                                                                            ,103.5,154,1.15,11039     ,82.48
02,英文、物理、生物                                                                                            ,100.5,145,1.08,11184     ,83.56
02,英文、物理、生物                                                                                            ,97.5,140,1.05,11324     ,84.61
02,英文、物理、生物                                                                                            ,94.5,136,1.02,11460     ,85.62
02,英文、物理、生物                                                                                            ,91.5,138,1.03,11598     ,86.66
02,英文、物理、生物                                                                                            ,88.5,123,0.92,11721     ,87.57
02,英文、物理、生物                                                                                            ,85.5,128,0.96,11849     ,88.53
02,英文、物理、生物                                                                                            ,82.5,110,0.82,11959     ,89.35
02,英文、物理、生物                                                                                            ,79.5,116,0.87,12075     ,90.22
02,英文、物理、生物                                                                                            ,76.5,93,0.69,12168     ,90.91
02,英文、物理、生物                                                                                            ,73.5,86,0.64,12254     ,91.56
02,英文、物理、生物                                                                                            ,70.5,82,0.61,12336     ,92.17
02,英文、物理、生物                                                                                            ,67.5,87,0.65,12423     ,92.82
02,英文、物理、生物                                                                                            ,64.5,64,0.48,12487     ,93.30
02,英文、物理、生物                                                                                            ,61.5,58,0.43,12545     ,93.73
02,英文、物理、生物                                                                                            ,58.5,58,0.43,12603     ,94.16
02,英文、物理、生物                                                                                            ,55.5,36,0.27,12639     ,94.43
02,英文、物理、生物                                                                                            ,52.5,30,0.22,12669     ,94.66
02,英文、物理、生物                                                                                            ,49.5,26,0.19,12695     ,94.85
02,英文、物理、生物                                                                                            ,46.5,31,0.23,12726     ,95.08
02,英文、物理、生物                                                                                            ,43.5,21,0.16,12747     ,95.24
02,英文、物理、生物                                                                                            ,40.5,17,0.13,12764     ,95.37
02,英文、物理、生物                                                                                            ,37.5,13,0.1,12777     ,95.46
02,英文、物理、生物                                                                                            ,34.5,16,0.12,12793     ,95.58
02,英文、物理、生物                                                                                            ,31.5,6,0.04,12799     ,95.63
02,英文、物理、生物                                                                                            ,28.5,14,0.1,12813     ,95.73
02,英文、物理、生物                                                                                            ,25.5,6,0.04,12819     ,95.78
02,英文、物理、生物                                                                                            ,22.5,8,0.06,12827     ,95.84
02,英文、物理、生物                                                                                            ,19.5,5,0.04,12832     ,95.88
02,英文、物理、生物                                                                                            ,16.5,6,0.04,12838     ,95.92
02,英文、物理、生物                                                                                            ,13.5,8,0.06,12846     ,95.98
02,英文、物理、生物                                                                                            ,10.5,3,0.02,12849     ,96.0
02,英文、物理、生物                                                                                            ,7.5,1,0.01,12850     ,96.01
02,英文、物理、生物                                                                                            ,4.5,1,0.01,12851     ,96.02
02,英文、物理、生物                                                                                            ,1.5,533,3.98,13384     ,100.0
03,英文、物理、化學                                                                                            ,298.5,0,0,0         ,0.0
03,英文、物理、化學                                                                                            ,295.5,2,0.01,2         ,0.01
03,英文、物理、化學                                                                                            ,292.5,1,0,3         ,0.01
03,英文、物理、化學                                                                                            ,289.5,5,0.02,8         ,0.04
03,英文、物理、化學                                                                                            ,286.5,9,0.04,17        ,0.08
03,英文、物理、化學                                                                                            ,283.5,36,0.18,53        ,0.26
03,英文、物理、化學                                                                                            ,280.5,53,0.26,106       ,0.52
03,英文、物理、化學                                                                                            ,277.5,54,0.27,160       ,0.79
03,英文、物理、化學                                                                                            ,274.5,90,0.45,250       ,1.24
03,英文、物理、化學                                                                                            ,271.5,108,0.53,358       ,1.77
03,英文、物理、化學                                                                                            ,268.5,166,0.82,524       ,2.59
03,英文、物理、化學                                                                                            ,265.5,186,0.92,710       ,3.52
03,英文、物理、化學                                                                                            ,262.5,198,0.98,908       ,4.50
03,英文、物理、化學                                                                                            ,259.5,194,0.96,1102      ,5.46
03,英文、物理、化學                                                                                            ,256.5,208,1.03,1310      ,6.49
03,英文、物理、化學                                                                                            ,253.5,202,1,1512      ,7.49
03,英文、物理、化學                                                                                            ,250.5,251,1.24,1763      ,8.73
03,英文、物理、化學                                                                                            ,247.5,259,1.28,2022      ,10.01
03,英文、物理、化學                                                                                            ,244.5,245,1.21,2267      ,11.22
03,英文、物理、化學                                                                                            ,241.5,290,1.44,2557      ,12.66
03,英文、物理、化學                                                                                            ,238.5,255,1.26,2812      ,13.92
03,英文、物理、化學                                                                                            ,235.5,283,1.4,3095      ,15.32
03,英文、物理、化學                                                                                            ,232.5,306,1.52,3401      ,16.84
03,英文、物理、化學                                                                                            ,229.5,285,1.41,3686      ,18.25
03,英文、物理、化學                                                                                            ,226.5,285,1.41,3971      ,19.66
03,英文、物理、化學                                                                                            ,223.5,274,1.36,4245      ,21.02
03,英文、物理、化學                                                                                            ,220.5,298,1.48,4543      ,22.49
03,英文、物理、化學                                                                                            ,217.5,272,1.35,4815      ,23.84
03,英文、物理、化學                                                                                            ,214.5,276,1.37,5091      ,25.21
03,英文、物理、化學                                                                                            ,211.5,294,1.46,5385      ,26.66
03,英文、物理、化學                                                                                            ,208.5,269,1.33,5654      ,28.0
03,英文、物理、化學                                                                                            ,205.5,290,1.44,5944      ,29.43
03,英文、物理、化學                                                                                            ,202.5,290,1.44,6234      ,30.87
03,英文、物理、化學                                                                                            ,199.5,313,1.55,6547      ,32.42
03,英文、物理、化學                                                                                            ,196.5,297,1.47,6844      ,33.89
03,英文、物理、化學                                                                                            ,193.5,295,1.46,7139      ,35.35
03,英文、物理、化學                                                                                            ,190.5,277,1.37,7416      ,36.72
03,英文、物理、化學                                                                                            ,187.5,298,1.48,7714      ,38.20
03,英文、物理、化學                                                                                            ,184.5,286,1.42,8000      ,39.61
03,英文、物理、化學                                                                                            ,181.5,303,1.5,8303      ,41.11
03,英文、物理、化學                                                                                            ,178.5,303,1.5,8606      ,42.61
03,英文、物理、化學                                                                                            ,175.5,319,1.58,8925      ,44.19
03,英文、物理、化學                                                                                            ,172.5,333,1.65,9258      ,45.84
03,英文、物理、化學                                                                                            ,169.5,310,1.53,9568      ,47.38
03,英文、物理、化學                                                                                            ,166.5,302,1.5,9870      ,48.87
03,英文、物理、化學                                                                                            ,163.5,286,1.42,10156     ,50.29
03,英文、物理、化學                                                                                            ,160.5,305,1.51,10461     ,51.80
03,英文、物理、化學                                                                                            ,157.5,316,1.56,10777     ,53.36
03,英文、物理、化學                                                                                            ,154.5,305,1.51,11082     ,54.87
03,英文、物理、化學                                                                                            ,151.5,258,1.28,11340     ,56.15
03,英文、物理、化學                                                                                            ,148.5,319,1.58,11659     ,57.73
03,英文、物理、化學                                                                                            ,145.5,293,1.45,11952     ,59.18
03,英文、物理、化學                                                                                            ,142.5,283,1.4,12235     ,60.58
03,英文、物理、化學                                                                                            ,139.5,295,1.46,12530     ,62.04
03,英文、物理、化學                                                                                            ,136.5,261,1.29,12791     ,63.33
03,英文、物理、化學                                                                                            ,133.5,304,1.51,13095     ,64.84
03,英文、物理、化學                                                                                            ,130.5,306,1.52,13401     ,66.35
03,英文、物理、化學                                                                                            ,127.5,280,1.39,13681     ,67.74
03,英文、物理、化學                                                                                            ,124.5,272,1.35,13953     ,69.09
03,英文、物理、化學                                                                                            ,121.5,273,1.35,14226     ,70.44
03,英文、物理、化學                                                                                            ,118.5,265,1.31,14491     ,71.75
03,英文、物理、化學                                                                                            ,115.5,297,1.47,14788     ,73.22
03,英文、物理、化學                                                                                            ,112.5,280,1.39,15068     ,74.61
03,英文、物理、化學                                                                                            ,109.5,273,1.35,15341     ,75.96
03,英文、物理、化學                                                                                            ,106.5,255,1.26,15596     ,77.22
03,英文、物理、化學                                                                                            ,103.5,295,1.46,15891     ,78.68
03,英文、物理、化學                                                                                            ,100.5,284,1.41,16175     ,80.09
03,英文、物理、化學                                                                                            ,97.5,257,1.27,16432     ,81.36
03,英文、物理、化學                                                                                            ,94.5,250,1.24,16682     ,82.60
03,英文、物理、化學                                                                                            ,91.5,256,1.27,16938     ,83.87
03,英文、物理、化學                                                                                            ,88.5,242,1.2,17180     ,85.07
03,英文、物理、化學                                                                                            ,85.5,230,1.14,17410     ,86.21
03,英文、物理、化學                                                                                            ,82.5,211,1.04,17621     ,87.25
03,英文、物理、化學                                                                                            ,79.5,216,1.07,17837     ,88.32
03,英文、物理、化學                                                                                            ,76.5,225,1.11,18062     ,89.43
03,英文、物理、化學                                                                                            ,73.5,185,0.92,18247     ,90.35
03,英文、物理、化學                                                                                            ,70.5,179,0.89,18426     ,91.24
03,英文、物理、化學                                                                                            ,67.5,152,0.75,18578     ,91.99
03,英文、物理、化學                                                                                            ,64.5,145,0.72,18723     ,92.71
03,英文、物理、化學                                                                                            ,61.5,139,0.69,18862     ,93.39
03,英文、物理、化學                                                                                            ,58.5,113,0.56,18975     ,93.95
03,英文、物理、化學                                                                                            ,55.5,82,0.41,19057     ,94.36
03,英文、物理、化學                                                                                            ,52.5,85,0.42,19142     ,94.78
03,英文、物理、化學                                                                                            ,49.5,66,0.33,19208     ,95.11
03,英文、物理、化學                                                                                            ,46.5,40,0.2,19248     ,95.31
03,英文、物理、化學                                                                                            ,43.5,41,0.2,19289     ,95.51
03,英文、物理、化學                                                                                            ,40.5,19,0.09,19308     ,95.60
03,英文、物理、化學                                                                                            ,37.5,25,0.12,19333     ,95.73
03,英文、物理、化學                                                                                            ,34.5,21,0.1,19354     ,95.83
03,英文、物理、化學                                                                                            ,31.5,20,0.1,19374     ,95.93
03,英文、物理、化學                                                                                            ,28.5,11,0.05,19385     ,95.98
03,英文、物理、化學                                                                                            ,25.5,12,0.06,19397     ,96.04
03,英文、物理、化學                                                                                            ,22.5,10,0.05,19407     ,96.09
03,英文、物理、化學                                                                                            ,19.5,6,0.03,19413     ,96.12
03,英文、物理、化學                                                                                            ,16.5,13,0.06,19426     ,96.19
03,英文、物理、化學                                                                                            ,13.5,7,0.03,19433     ,96.22
03,英文、物理、化學                                                                                            ,10.5,6,0.03,19439     ,96.25
03,英文、物理、化學                                                                                            ,7.5,1,0,19440     ,96.26
